Center_Code,Segment
C040414,Corporate
C301007,Housing
C301008,Housing
C350102,Housing
C350103,Housing
C350106,Housing
C350110,Housing
C350512,Housing
C350520,Housing
C350527,Housing
C350529,Housing
C350553,Housing
C350557,Housing
C350582,Housing
C350598,Housing
C350599,Housing
C350602,Housing
C350614,Housing
C350615,Housing
C350628,Housing
C010000,Corporate
C010011,Corporate
C010101,Corporate
C010105,Corporate
C010110,Corporate
C010111,Corporate
C010112,Corporate
C010113,Corporate
C010114,Corporate
C010115,Corporate
C010121,Corporate
C010122,Corporate
C010124,Corporate
C010127,Corporate
C010150,Corporate
C010155,Lifestyle
C010160,Lifestyle
C010162,Lifestyle
C010163,Lifestyle
C010164,Lifestyle
C010170,Housing
C010180,Lifestyle
C010205,Corporate
C010210,Corporate
C010215,Corporate
C010220,Corporate
C010230,Corporate
C010301,Corporate
C010305,Corporate
C010310,Corporate
C010401,Corporate
C010415,Corporate
C010430,Housing
C010431,Housing
C010432,Housing
C010433,Housing
C010434,Housing
C010450,Lifestyle
C010451,Lifestyle
C010452,Lifestyle
C010453,Lifestyle
C010501,Corporate
C010701,Corporate
C010801,Corporate
C020201,Corporate
C020202,Corporate
C020205,Corporate
C020298,Corporate
C020402,Corporate
C020405,Corporate
C020415,Corporate
C020420,Corporate
C020425,Corporate
C020501,Corporate
C020502,Corporate
C020601,Corporate
C020801,Corporate
C030101,Corporate
C030110,Corporate
C030115,Corporate
C030125,Corporate
C030200,Corporate
C040001,Corporate
C040002,Corporate
C040015,Corporate
C040101,Corporate
C040105,Corporate
C040110,Corporate
C040111,Corporate
C040120,Corporate
C040201,Corporate
C040301,Corporate
C040310,Corporate
C040320,Corporate
C040325,Corporate
C040330,Corporate
C040401,Corporate
C040405,Corporate
C040410,Corporate
C040411,Corporate
C040412,Corporate
C040415,Corporate
C040418,Corporate
C040425,Corporate
C040501,Corporate
C042005,Corporate
C042010,Corporate
C042015,Corporate
C042020,Corporate
C042025,Corporate
C042030,Corporate
C042050,Lifestyle
C043001,Corporate
C043005,Corporate
C043010,Corporate
C043015,Corporate
C043020,Corporate
C043035,Corporate
C044002,Corporate
C044004,Corporate
C100601,Corporate
C100901,Corporate
C100905,Corporate
C100906,Corporate
C100907,Corporate
C100908,Corporate
C100909,Corporate
C100920,Corporate
C100930,Corporate
C100931,Corporate
C100941,Corporate
C100942,Corporate
C100944,Corporate
C200101,Corporate
C200110,Corporate
C200115,Corporate
C200120,Corporate
C200205,Corporate
C200210,Corporate
C200501,Corporate
C200506,Corporate
C200507,Corporate
C200508,Corporate
C200509,Corporate
C200521,Corporate
C200531,Corporate
C200532,Corporate
C200540,Corporate
C200541,Corporate
C200551,Corporate
C200553,Corporate
C200560,Corporate
C200561,Corporate
C200601,Corporate
C250000,Corporate
C250050,Corporate
C250051,Corporate
C250052,Corporate
C250100,Corporate
C250110,Corporate
C250112,Corporate
C250113,Corporate
C250120,Corporate
C250122,Corporate
C250123,Corporate
C250210,Corporate
C250251,Corporate
C250260,Corporate
C250400,Corporate
C250401,Corporate
C250510,Corporate
C250520,Corporate
C250521,Corporate
C250522,Corporate
C250523,Corporate
C250530,Corporate
C250531,Corporate
C250533,Corporate
C250551,Corporate
C250560,Corporate
C250570,Corporate
C250581,Corporate
C250601,Corporate
C250622,Corporate
C250631,Corporate
C251000,Corporate
C251002,Corporate
C251003,Corporate
C251006,Corporate
C251007,Corporate
C251008,Corporate
C251009,Corporate
C251011,Corporate
C251012,Corporate
C251014,Corporate
C251016,Corporate
C251070,Corporate
C251080,Corporate
C251091,Corporate
C251300,Corporate
C251306,Corporate
C251307,Corporate
C251308,Corporate
C251309,Corporate
C251310,Corporate
C251314,Corporate
C251318,Corporate
C251321,Corporate
C251322,Corporate
C251323,Corporate
C251329,Corporate
C251333,Corporate
C251337,Corporate
C251338,Corporate
C251340,Corporate
C251341,Corporate
C251344,Corporate
C251345,Corporate
C251346,Corporate
C251347,Corporate
C251349,Corporate
C251350,Corporate
C251351,Corporate
C251353,Corporate
C251362,Corporate
C251365,Corporate
C252000,Corporate
C252002,Corporate
C252004,Corporate
C252010,Corporate
C252030,Corporate
C252031,Corporate
C252032,Corporate
C252040,Corporate
C252042,Housing
C252043,Corporate
C252050,Corporate
C252051,Corporate
C252070,Corporate
C252071,Corporate
C252072,Corporate
C252073,Corporate
C252075,Corporate
C252080,Corporate
C252089,Corporate
C252090,Corporate
C252100,Corporate
C252121,Corporate
C252124,Corporate
C252125,Corporate
C252129,Corporate
C252131,Corporate
C252133,Corporate
C253002,Corporate
C253003,Corporate
C253005,Corporate
C253011,Corporate
C253012,Corporate
C253013,Corporate
C253014,Corporate
C253015,Corporate
C253019,Corporate
C253100,Corporate
C253200,Corporate
C253201,Corporate
C253300,Corporate
C253301,Corporate
C253500,Corporate
C253506,Corporate
C253601,Corporate
C253602,Corporate
C253603,Corporate
C253701,Corporate
C253702,Corporate
C253705,Corporate
C253706,Corporate
C253710,Corporate
C253711,Corporate
C253712,Corporate
C253714,Corporate
C253716,Corporate
C253722,Corporate
C253723,Corporate
C253727,Corporate
C253728,Lifestyle
C253729,Lifestyle
C254004,Corporate
C254008,Corporate
C254009,Corporate
C254018,Corporate
C254021,Corporate
C259000,Corporate
C300000,Housing
C300005,Housing
C300011,Housing
C301000,Housing
C301002,Housing
C301003,Housing
C301004,Housing
C301005,Housing
C301009,Housing
C301113,Housing
C302000,Housing
C302001,Housing
C302002,Housing
